panel	line	entry	canonical_attempt	note
retina_disease.txt	699	RCDP1	RCDP1	not_current_hgnc_after_official_aliases
retina_disease.txt	706	RDMVID	RDMVID	not_current_hgnc_after_official_aliases
retina_disease.txt	707	RDPA	RDPA	not_current_hgnc_after_official_aliases
retina_disease.txt	710	REP1	REP1	not_current_hgnc_after_official_aliases
retina_disease.txt	712	RETGC1	RETGC1	not_current_hgnc_after_official_aliases
retina_disease.txt	725	RMCH1	RMCH1	not_current_hgnc_after_official_aliases
retina_disease.txt	726	RMCH2	RMCH2	not_current_hgnc_after_official_aliases
retina_disease.txt	727	RNANC	RNANC	not_current_hgnc_after_official_aliases
retina_disease.txt	728	ROA1	ROA1	not_current_hgnc_after_official_aliases
retina_disease.txt	731	ROP	ROP	not_current_hgnc_after_official_aliases
retina_disease.txt	745	RP21	RP21	not_current_hgnc_after_official_aliases
retina_disease.txt	746	RP22	RP22	not_current_hgnc_after_official_aliases
retina_disease.txt	748	RP24	RP24	not_current_hgnc_after_official_aliases
retina_disease.txt	753	RP29	RP29	not_current_hgnc_after_official_aliases
retina_disease.txt	757	RP32	RP32	not_current_hgnc_after_official_aliases
retina_disease.txt	759	RP34	RP34	not_current_hgnc_after_official_aliases
retina_disease.txt	760	RP35	RP35	not_current_hgnc_after_official_aliases
retina_disease.txt	768	RP42	RP42	not_current_hgnc_after_official_aliases
retina_disease.txt	784	RP58	RP58	not_current_hgnc_after_official_aliases
retina_disease.txt	786	RP6	RP6	not_current_hgnc_after_official_aliases
retina_disease.txt	790	RP63	RP63	not_current_hgnc_after_official_aliases
retina_disease.txt	795	RP68	RP68	not_current_hgnc_after_official_aliases
retina_disease.txt	796	RP69	RP69	not_current_hgnc_after_official_aliases
retina_disease.txt	798	RP70	RP70	not_current_hgnc_after_official_aliases
retina_disease.txt	799	RP71	RP71	not_current_hgnc_after_official_aliases
retina_disease.txt	800	RP72	RP72	not_current_hgnc_after_official_aliases
retina_disease.txt	801	RP73	RP73	not_current_hgnc_after_official_aliases
retina_disease.txt	802	RP74	RP74	not_current_hgnc_after_official_aliases
retina_disease.txt	803	RP75	RP75	not_current_hgnc_after_official_aliases
retina_disease.txt	804	RP76	RP76	not_current_hgnc_after_official_aliases
retina_disease.txt	805	RP77	RP77	not_current_hgnc_after_official_aliases
retina_disease.txt	806	RP78	RP78	not_current_hgnc_after_official_aliases
retina_disease.txt	807	RP79	RP79	not_current_hgnc_after_official_aliases
retina_disease.txt	808	RP8	RP8	not_current_hgnc_after_official_aliases
retina_disease.txt	809	RP80	RP80	not_current_hgnc_after_official_aliases
retina_disease.txt	810	RP81	RP81	not_current_hgnc_after_official_aliases
retina_disease.txt	811	RP82	RP82	not_current_hgnc_after_official_aliases
retina_disease.txt	812	RP83	RP83	not_current_hgnc_after_official_aliases
retina_disease.txt	813	RP84	RP84	not_current_hgnc_after_official_aliases
retina_disease.txt	814	RP85	RP85	not_current_hgnc_after_official_aliases
retina_disease.txt	815	RP86	RP86	not_current_hgnc_after_official_aliases
retina_disease.txt	816	RP87	RP87	not_current_hgnc_after_official_aliases
retina_disease.txt	817	RP88	RP88	not_current_hgnc_after_official_aliases
retina_disease.txt	818	RP89	RP89	not_current_hgnc_after_official_aliases
retina_disease.txt	820	RP90	RP90	not_current_hgnc_after_official_aliases
retina_disease.txt	821	RP91	RP91	not_current_hgnc_after_official_aliases
retina_disease.txt	822	RP92	RP92	not_current_hgnc_after_official_aliases
retina_disease.txt	823	RP93	RP93	not_current_hgnc_after_official_aliases
retina_disease.txt	824	RP94	RP94	not_current_hgnc_after_official_aliases
retina_disease.txt	825	RP95	RP95	not_current_hgnc_after_official_aliases
retina_disease.txt	826	RP96	RP96	not_current_hgnc_after_official_aliases
retina_disease.txt	827	RP97	RP97	not_current_hgnc_after_official_aliases
retina_disease.txt	832	RPSKA	RPSKA	not_current_hgnc_after_official_aliases
retina_disease.txt	836	RVCL	RVCL	not_current_hgnc_after_official_aliases
retina_disease.txt	849	SIFD	SIFD	not_current_hgnc_after_official_aliases
retina_disease.txt	864	SLSN8	SLSN8	not_current_hgnc_after_official_aliases
retina_disease.txt	867	SOPH	SOPH	not_current_hgnc_after_official_aliases
retina_disease.txt	870	SPARCAN	SPARCAN	not_current_hgnc_after_official_aliases
retina_disease.txt	872	SPAX10	SPAX10	not_current_hgnc_after_official_aliases
retina_disease.txt	881	SRTD10	SRTD10	not_current_hgnc_after_official_aliases
retina_disease.txt	882	SRTD11	SRTD11	not_current_hgnc_after_official_aliases
retina_disease.txt	883	SRTD18	SRTD18	not_current_hgnc_after_official_aliases
retina_disease.txt	884	SRTD3	SRTD3	not_current_hgnc_after_official_aliases
retina_disease.txt	885	SRTD5	SRTD5	not_current_hgnc_after_official_aliases
