alias	existing_or_reason	candidate_target	source
BTF2	multiple_targets	BTN2A2|ERCC3|GTF2H1|GTF2H2|GTF2H3	hgnc_alias_symbol
BTF3	current_symbol	BTN3A3	hgnc_alias_symbol
BTF4	multiple_targets	GTF2F1|GTF2F2	hgnc_alias_symbol
BTN1	multiple_targets	BTN1A1|CLN3	hgnc_alias_symbol
C1	multiple_targets	ARHGAP4|PFDN4|TRGC1	hgnc_alias_symbol
C11	multiple_targets	AKR1C4|POLR3K	hgnc_alias_symbol
C11orf2	VPS51	IFT46	hgnc_alias_symbol
C11orf3	VPS51	EMC7	hgnc_alias_symbol
C11orf4	MRPL49	GPR137	hgnc_alias_symbol
C11orf48	multiple_targets	C11orf98|LBHD1	hgnc_prev_symbol
C11orf5	ZNHIT2	CWC15	hgnc_alias_symbol
C17	multiple_targets	CRCP|CYTL1	hgnc_alias_symbol
C17orf1	FBXW10	FMNL1	hgnc_alias_symbol
C18orf2	LINC00470	CHMP1B	hgnc_alias_symbol
C18orf21	multiple_targets	RMP24|RMP24P1	hgnc_prev_symbol
C1QTNF15	multiple_targets	ERFE|OTOL1	hgnc_alias_symbol
C1QTNF5	current_symbol	MFRP	hgnc_alias_symbol
C2TA	multiple_targets	CIITA|DONSON	hgnc_alias_symbol
C4B	current_symbol	C4A	hgnc_alias_symbol
C4BP	multiple_targets	C4BPA|C4BPB	hgnc_prev_symbol
C53	multiple_targets	CDK5RAP3|POLR3D	hgnc_alias_symbol
C6	current_symbol	PSMA7	hgnc_alias_symbol
C6orf37	TENT5A	MUCL3	hgnc_alias_symbol
C6ST	multiple_targets	CHST1|CHST2|CHST3	hgnc_alias_symbol
C7	current_symbol	CXCL10	hgnc_alias_symbol
C8orf9	MTMR9	MTMR8	hgnc_withdrawn
CA11	current_symbol	GKN1	hgnc_alias_symbol
CA125	multiple_targets	MUC16|NBR1	hgnc_alias_symbol
CABP1	current_symbol	S100G	hgnc_alias_symbol
CAD	current_symbol	ACOD1|DFFB	hgnc_alias_symbol
CAF-1	multiple_targets	CHAF1A|CHAF1B	hgnc_alias_symbol
CAF1	multiple_targets	CHAF1A|CHAF1B|CNOT8	hgnc_alias_symbol
CAK	DDR1	CDK7	hgnc_alias_symbol
CAK1	multiple_targets	CDK7|MSLN	hgnc_alias_symbol
CAL	multiple_targets	FBLIM1|GOPC	hgnc_alias_symbol
CALM	multiple_targets	PICALM|SNAP91	hgnc_alias_symbol
CaMKIINalpha	multiple_targets	CAMK2A|CAMK2N1	hgnc_alias_symbol
CAMP	current_symbol	CHAMP1	hgnc_alias_symbol
CANP	multiple_targets	CAPN1|CAPNS1|FAM111B	hgnc_alias_symbol
CAP	multiple_targets	BRD4|CAP1|HACD1|LNPEP|SERPINB6|SORBS1	hgnc_alias_symbol
CAP1	current_symbol	PRSS8	hgnc_alias_symbol
CAP2	current_symbol	SERPINB8|TMPRSS4	hgnc_alias_symbol
CAP3	multiple_targets	SERPINB9|ST14	hgnc_alias_symbol
CAPS	current_symbol	CADPS	hgnc_alias_symbol
CAPS1	multiple_targets	CADPS|CAPS	hgnc_alias_symbol
CAPS2	current_symbol	CADPS2	hgnc_alias_symbol
CAR	multiple_targets	CXADR|CXADRP1|NR1I3|SPG7	hgnc_alias_symbol
CARD2	multiple_targets	KRT8|NOL3	hgnc_alias_symbol
CARDINAL	multiple_targets	CARD8|LINC00670	hgnc_alias_symbol
CARF	current_symbol	CDKN2AIP	hgnc_alias_symbol
CARMEN	multiple_targets	BCL10|CARMN	hgnc_alias_symbol
CARP	multiple_targets	ANKRD1|CA8|MINDY3	hgnc_alias_symbol
CARP2	multiple_targets	CA11|RFFL	hgnc_alias_symbol
CART1	ALX1	TRAF4	hgnc_alias_symbol
CAS	multiple_targets	BCAR1|CSE1L	hgnc_alias_symbol
CASP	multiple_targets	CRTAP|CUX1|CYTIP	hgnc_alias_symbol
CAST	current_symbol	ERC2|POLR1G	hgnc_alias_symbol
CATCH22	multiple_targets	DGCR|TBX1	hgnc_alias_symbol
CAV	multiple_targets	CA5A|CAV2	hgnc_alias_symbol
CBBM	multiple_targets	OPN1LW|OPN1MW	hgnc_prev_symbol
CBL-3	multiple_targets	CBLC|VTRNA2-1	hgnc_alias_symbol
CBP	multiple_targets	CREBBP|PAG1	hgnc_alias_symbol
CCBP2	ACKR2	ACKR4	hgnc_alias_symbol
CCN1	current_symbol	CCNA2	hgnc_prev_symbol
CCNL1	current_symbol	MCM2	hgnc_prev_symbol
CCNL1	current_symbol	MCM2	hgnc_withdrawn
CCR10	current_symbol	ACKR2	hgnc_alias_symbol
CCR4	current_symbol	CNOT6	hgnc_alias_symbol
CCR9	current_symbol	ACKR2	hgnc_alias_symbol
CCRL1	ACKR4	CX3CR1	hgnc_alias_symbol
CD	multiple_targets	CTLA4|NOD2	hgnc_alias_symbol
CD1	multiple_targets	CD1A|CD1B|CD1C	hgnc_prev_symbol
CD16	multiple_targets	FCGR3A|FCGR3B	hgnc_alias_symbol
CD25	multiple_targets	IL2RA|ISG20	hgnc_alias_symbol
CD32	multiple_targets	FCGR2A|FCGR2B	hgnc_alias_symbol
CD85	multiple_targets	LILRA5|LILRB1	hgnc_alias_symbol
CD98	multiple_targets	SLC3A2|SLC7A5	hgnc_alias_symbol
CDC2	CDK1	POLD1	hgnc_alias_symbol
CDC25	CDC25C	RASGRF1	hgnc_alias_symbol
CDH1	current_symbol	FZR1	hgnc_alias_symbol
CDH14	CDH15	CDH18	hgnc_alias_symbol
CDH20	current_symbol	PCDHGB4	hgnc_alias_symbol
CDH3	current_symbol	CDH15	hgnc_prev_symbol
CDH7	current_symbol	CDH19	hgnc_alias_symbol
CDK11-p110	multiple_targets	CDK11A|CDK11B	hgnc_alias_symbol
CDK11-p46	multiple_targets	CDK11A|CDK11B	hgnc_alias_symbol
CDK11-p58	multiple_targets	CDK11A|CDK11B	hgnc_alias_symbol
CDK4I	multiple_targets	CDKN2A|CDKN2B	hgnc_alias_symbol
CDKN1A	current_symbol	CDPF1	hgnc_alias_symbol
CDM	multiple_targets	BCAP31|CALD1	hgnc_alias_symbol
CDR	multiple_targets	AKR1C4|RUNX1T1	hgnc_alias_symbol
CDS1	current_symbol	CHEK2	hgnc_alias_symbol
CEA	multiple_targets	CEACAM7|PSG2	hgnc_alias_symbol
CED-12	multiple_targets	ELMO1|ELMO2|ELMO3	hgnc_alias_symbol
CED12	multiple_targets	ELMO1|ELMO2|ELMO3	hgnc_alias_symbol
CELIAC1	multiple_targets	HLA-DQA1|HLA-DQB1	hgnc_alias_symbol
CENPC	current_symbol	CENPCP1	hgnc_prev_symbol
CENPC	current_symbol	CENPCP1	hgnc_withdrawn
CEP1	CNTRL	CDC42EP1	hgnc_alias_symbol
CEP2	CEP250	CDC42EP2	hgnc_alias_symbol
CEP4	CEP135	CDC42EP4	hgnc_alias_symbol
CER1	current_symbol	C3CER1	hgnc_alias_symbol
CES2	current_symbol	CES1	hgnc_alias_symbol
CFAG	multiple_targets	S100A8|S100A9	hgnc_prev_symbol
CFD1	FGFR2	NUBP2	hgnc_alias_symbol
CFP1	multiple_targets	CCNY|CXXC1	hgnc_alias_symbol
CG1	multiple_targets	KTN1|MAMLD1|NUP42	hgnc_alias_symbol
CGI-141	multiple_targets	GOLT1A|GOLT1B	hgnc_alias_symbol
CGRP	multiple_targets	CALCA|S100A12	hgnc_alias_symbol
CHAMP	multiple_targets	CHAMP1|MOV10L1	hgnc_alias_symbol
CHD5	current_symbol	CHD6|GET1	hgnc_alias_symbol
CHE1	BCHE	AATF	hgnc_alias_symbol
CHED	multiple_targets	CDK13|OVOL2	hgnc_alias_symbol
CHK	CHKA	MATK	hgnc_alias_symbol
CHL1	current_symbol	DDX11	hgnc_alias_symbol
CHN	CHN1	NR4A3	hgnc_alias_symbol
CHP1	current_symbol	CHORDC1	hgnc_alias_symbol
CHS1	multiple_targets	LYST|VPS13B	hgnc_prev_symbol
CIA	multiple_targets	ASF1A|NCOA5	hgnc_alias_symbol
CIB	multiple_targets	ABHD14B|CIB1	hgnc_alias_symbol
CIC	current_symbol	SLC25A1	hgnc_alias_symbol
CINAP	multiple_targets	AK6|TSPYL2	hgnc_alias_symbol
CIP1	multiple_targets	CDKN1A|SLC12A9	hgnc_alias_symbol
CIR	multiple_targets	CIRSR|KCNJ5|VIM2P	hgnc_alias_symbol
CKLF	current_symbol	KLF5	hgnc_alias_symbol
CKMT1	multiple_targets	CKMT1A|CKMT1B	hgnc_prev_symbol
CKR-1	multiple_targets	CCR1|CXCR1	hgnc_alias_symbol
CKS1	CKS1BP7	CKS1B	hgnc_alias_symbol
CL2	multiple_targets	CCDC80|ERVW-5	hgnc_alias_symbol
CLA1	PMPCA	SCARB1	hgnc_alias_symbol
CLA20	multiple_targets	AP3M2|AP4S1	hgnc_alias_symbol
CLAMP	multiple_targets	PDZK1|SPEF1	hgnc_alias_symbol
CLAN	multiple_targets	LINC02577|NLRC4	hgnc_alias_symbol
CLC	current_symbol	CLCF1	hgnc_alias_symbol
CLC2	multiple_targets	CLCN2|LGALS14	hgnc_alias_symbol
CLCP1	current_symbol	DCBLD2	hgnc_alias_symbol
CLDN21	CLDN24	CLDN22	hgnc_alias_symbol
CLECSF13	multiple_targets	CLEC10A|CLEC4F	hgnc_prev_symbol
CLF	multiple_targets	CRLF1|CRNKL1	hgnc_alias_symbol
CLG	MMP1	PLEKHG2	hgnc_alias_symbol
CLIC5	current_symbol	CLIC6	hgnc_alias_symbol
CLIM1	PDLIM1	LDB2	hgnc_alias_symbol
CLIP	multiple_targets	CD74|CLIP1|CLIP2|POMC	hgnc_alias_symbol
CLIP4	current_symbol	UBASH3A	hgnc_alias_symbol
CLM	LAMB1	CST9	hgnc_alias_symbol
CLMF	multiple_targets	IL12A|IL12B	hgnc_alias_symbol
CLP	multiple_targets	CALML3|COTL1|CSRP3	hgnc_alias_symbol
CLPSMCR	multiple_targets	COTL1P1|COTL1P2	hgnc_prev_symbol
CLU1	multiple_targets	CLU|CLUH	hgnc_alias_symbol
CMPD2	multiple_targets	SCN5A|TNNT2	hgnc_alias_symbol
CMT2	KIF1B	MAD2L1BP	hgnc_alias_symbol
CN1	multiple_targets	CNDP1|NT5C1A	hgnc_alias_symbol
CNA2	KERA	PPP3CB	hgnc_alias_symbol
CNK	PLK3	CNKSR1	hgnc_alias_symbol
CNP	current_symbol	NPPC	hgnc_alias_symbol
CNR1	current_symbol	PCDHA4|PCDHA@	hgnc_alias_symbol
CNR2	current_symbol	PCDHA6	hgnc_alias_symbol
CO4	multiple_targets	C4A|C4B	hgnc_alias_symbol
COD1	RPGR	COG4	hgnc_alias_symbol
COD5	multiple_targets	OPN1LW|OPN1MW	hgnc_alias_symbol
COL6A4	multiple_targets	COL6A4P1|COL6A4P2	hgnc_alias_symbol
COM1	multiple_targets	NUPR1|RBBP8	hgnc_alias_symbol
COMT2	multiple_targets	LRTOMT|TOMT	hgnc_alias_symbol
