SNV/indel,CNV,STR,Mitochondria
RBM20,RBM20,,
RBM7,RBM7,,
REEP1,REEP1,,
RERE,RERE,,
RET,RET,,
RETREG1,RETREG1,,
RFC1,RFC1,,
RFC4,RFC4,,
RILPL1,RILPL1,,
RMND1,RMND1,,
RNASEH1,RNASEH1,,
RPH3A,RPH3A,,
RRM2B,RRM2B,,
RTN2,RTN2,,
RXYLT1,RXYLT1,,
RYR1,RYR1,,
SACS,SACS,,
SAR1B,SAR1B,,
SARS1,SARS1,,
SBF1,SBF1,,
SBF2,SBF2,,
SCN11A,SCN11A,,
SCN4A,SCN4A,,
SCN5A,SCN5A,,
SCN9A,SCN9A,,
SCO2,SCO2,,
SDHA,SDHA,,
SDHAF1,SDHAF1,,
SDHB,SDHB,,
SDHD,SDHD,,
SELENON,SELENON,,
SETX,SETX,,
SGCA,SGCA,,
SGCB,SGCB,,
SGCD,SGCD,,
SGCG,SGCG,,
SGPL1,SGPL1,,
SH3TC2,SH3TC2,,
SHH,SHH,,
SIGMAR1,SIGMAR1,,
SIL1,SIL1,,
SIX3,SIX3,,
SKI,SKI,,
SLC12A6,SLC12A6,,
SLC16A1,SLC16A1,,
SLC18A3,SLC18A3,,
SLC22A5,SLC22A5,,
SLC25A1,SLC25A1,,
SLC25A20,SLC25A20,,
SLC25A26,SLC25A26,,
SLC25A3,SLC25A3,,
SLC25A4,SLC25A4,,
SLC25A46,SLC25A46,,
SLC37A4,SLC37A4,,
SLC5A7,SLC5A7,,
SLC9A3R1,SLC9A3R1,,
SMCHD1,SMCHD1,,
SMN1,SMN1,,
SMPD4,SMPD4,,
SMPX,SMPX,,
SNAP25,SNAP25,,
SNUPN,SNUPN,,
SOD1,SOD1,,
SORD,SORD,,
SPEG,SPEG,,
SPG11,SPG11,,
SPG7,SPG7,,
SPTAN1,SPTAN1,,
SPTBN4,SPTBN4,,
SPTLC1,SPTLC1,,
SPTLC2,SPTLC2,,
SQSTM1,SQSTM1,,
STAC3,STAC3,,
STIM1,STIM1,,
SUCLA2,SUCLA2,,
SUCLG1,SUCLG1,,
SUFU,SUFU,,
SURF1,SURF1,,
SVIL,SVIL,,
SYNE1,SYNE1,,
SYNE2,SYNE2,,
SYT2,SYT2,,
TANGO2,TANGO2,,
TARDBP,TARDBP,,
TAZ,TAZ,,
TBCE,TBCE,,
TBK1,TBK1,,
TCAP,TCAP,,
TECPR2,TECPR2,,
TEFM,TEFM,,
TFG,TFG,,
TGIF1,TGIF1,,
THOC2,THOC2,,
TIA1,TIA1,,
TIMM22,TIMM22,,
TK2,TK2,,
TKFC,TKFC,,
TMEM126B,TMEM126B,,
TMEM43,TMEM43,,
TMEM65,TMEM65,,
TNNC1,TNNC1,,
TNNC2,TNNC2,,
TNNI1,TNNI1,,
TNNI2,TNNI2,,
TNNI3,TNNI3,,
TNNT1,TNNT1,,
TNNT2,TNNT2,,
TNNT3,TNNT3,,
TNPO3,TNPO3,,
TOP3A,TOP3A,,
TOR1AIP1,TOR1AIP1,,
TPI1,TPI1,,
TPM1,TPM1,,
TPM2,TPM2,,
TPM3,TPM3,,
TRAPPC11,TRAPPC11,,
TRAPPC2L,TRAPPC2L,,
TRIM2,TRIM2,,
TRIM32,TRIM32,,
TRIM54,TRIM54,,
TRIM63,TRIM63,,
TRIP4,TRIP4,,
TRMU,TRMU,,
TRPV4,TRPV4,,
TTN,TTN,,
TTR,TTR,,
TUBA4A,TUBA4A,,
TUBB3,TUBB3,,
TWNK,TWNK,,
TXNRD2,TXNRD2,,
TYMP,TYMP,,
UBA1,UBA1,,
UBQLN2,UBQLN2,,
UNC13A,UNC13A,,
UNC45B,UNC45B,,
UNC50,UNC50,,
UNC80,UNC80,,
