SNV/indel,CNV,STR,Mitochondria
HAX1,HAX1,,
HCCS,HCCS,,
HCFC1,HCFC1,,
HCN1,HCN1,,
HCN2,HCN2,,
HECTD4,HECTD4,,
HECW2,HECW2,,
HEPACAM,HEPACAM,,
HERC2,HERC2,,
HEXA,HEXA,,
HEXB,HEXB,,
HFE,HFE,,
HFE2,HFE2,,
HGD,HGD,,
HGSNAT,HGSNAT,,
HIBCH,HIBCH,,
HID1,HID1,,
HLCS,HLCS,,
HMBS,HMBS,,
HMGCL,HMGCL,,
HMGCS2,HMGCS2,,
HNRNPH2,HNRNPH2,,
HNRNPR,HNRNPR,,
HNRNPU,HNRNPU,,
HOGA1,HOGA1,,
HPD,HPD,,
HPDL,HPDL,,
HPRT1,HPRT1,,
HPS1,HPS1,,
HRAS,HRAS,,
HS2ST1,HS2ST1,,
HSD11B2,HSD11B2,,
HSD17B10,HSD17B10,,
HSD17B4,HSD17B4,,
HSD3B7,HSD3B7,,
HSPA9,HSPA9,,
HSPD1,HSPD1,,
HTRA2,HTRA2,,
HYAL1,HYAL1,,
IARS2,IARS2,,
IBA57,IBA57,,
IDH2,IDH2,,
IDH3A,IDH3A,,
IDS,IDS,,
IDUA,IDUA,,
IER3IP1,IER3IP1,,
IFIH1,IFIH1,,
IKBKG,IKBKG,,
INPP4A,INPP4A,,
IQSEC2,IQSEC2,,
IRF2BPL,IRF2BPL,,
ISCA1,ISCA1,,
ISCA2,ISCA2,,
ISCU,ISCU,,
ISPD,ISPD,,
ITPA,ITPA,,
IVD,IVD,,
KARS,KARS,,
KAT5,KAT5,,
KAT8,KAT8,,
KCNA1,KCNA1,,
KCNA2,KCNA2,,
KCNA3,KCNA3,,
KCNB1,KCNB1,,
KCNC1,KCNC1,,
KCNC2,KCNC2,,
KCND2,KCND2,,
KCND3,KCND3,,
KCNH1,KCNH1,,
KCNH5,KCNH5,,
KCNJ10,KCNJ10,,
KCNJ11,KCNJ11,,
KCNK4,KCNK4,,
KCNMA1,KCNMA1,,
KCNQ2,KCNQ2,,
KCNQ3,KCNQ3,,
KCNQ5,KCNQ5,,
KCNT1,KCNT1,,
KCNT2,KCNT2,,
KCTD3,KCTD3,,
KCTD7,KCTD7,,
KDM6B,KDM6B,,
KIAA0391,KIAA0391,,
KIAA1109,KIAA1109,,
KIF1A,KIF1A,,
KIF2A,KIF2A,,
KIF5C,KIF5C,,
KLHL20,KLHL20,,
KMT2E,KMT2E,,
KPTN,KPTN,,
KRAS,KRAS,,
KYNU,KYNU,,
L2HGDH,L2HGDH,,
LAMC3,LAMC3,,
LAMP2,LAMP2,,
LARGE1,LARGE1,,
LARS,LARS,,
LARS2,LARS2,,
LBR,LBR,,
LCAT,LCAT,,
LCT,LCT,,
LDHA,LDHA,,
LDLR,LDLR,,
LDLRAP1,LDLRAP1,,
LETM1,LETM1,,
LFNG,LFNG,,
LGI1,LGI1,,
LIAS,LIAS,,
LIG3,LIG3,,
LIPA,LIPA,,
LIPT1,LIPT1,,
LIPT2,LIPT2,,
LMBRD1,LMBRD1,,
LMBRD2,LMBRD2,,
LMF1,LMF1,,
LNPK,LNPK,,
LONP1,LONP1,,
LPIN1,LPIN1,,
LPL,LPL,,
LRPPRC,LRPPRC,,
LSS,LSS,,
LYRM4,LYRM4,,
LYRM7,LYRM7,,
MACF1,MACF1,,
MADD,MADD,,
MAF,MAF,,
MAGT1,MAGT1,,
MAN1B1,MAN1B1,,
MAN2B1,MAN2B1,,
MAN2B2,MAN2B2,,
MANBA,MANBA,,
MAOA,MAOA,,
MAP2K1,MAP2K1,,
MAP2K2,MAP2K2,,
MARK2,MARK2,,
MARS2,MARS2,,
MAST3,MAST3,,
MAST4,MAST4,,
MAT1A,MAT1A,,
MBD5,MBD5,,
MBOAT7,MBOAT7,,
MCCC1,MCCC1,,
MCCC2,MCCC2,,
MCEE,MCEE,,
MCOLN1,MCOLN1,,
MDH2,MDH2,,
MECP2,MECP2,,
MECR,MECR,,
MED11,MED11,,
MED12,MED12,,
MED27,MED27,,
MEF2C,MEF2C,,
MFF,MFF,,
MFN2,MFN2,,
MFSD8,MFSD8,,
MGAT2,MGAT2,,
MGME1,MGME1,,
MICU1,MICU1,,
MINPP1,MINPP1,,
MIPEP,MIPEP,,
MLC1,MLC1,,
MLYCD,MLYCD,,
MMAA,MMAA,,
MMAB,MMAB,,
MMACHC,MMACHC,,
MMADHC,MMADHC,,
MOCS1,MOCS1,,
MOCS2,MOCS2,,
MOGS,MOGS,,
MPC1,MPC1,,
MPDU1,MPDU1,,
MPI,MPI,,
MPV17,MPV17,,
MRM2,MRM2,,
MRPL3,MRPL3,,
MRPL39,MRPL39,,
MRPL44,MRPL44,,
MRPL49,MRPL49,,
MRPS2,MRPS2,,
MRPS22,MRPS22,,
MRPS34,MRPS34,,
MSMO1,MSMO1,,
MSTO1,MSTO1,,
MTHFS,MTHFS,,
MTFMT,MTFMT,,
MTHFR,MTHFR,,
MTO1,MTO1,,
MTOR,MTOR,,
MTPAP,MTPAP,,
MTR,MTR,,
MTRR,MTRR,,
MTTP,MTTP,,
MUT,MUT,,
MVK,MVK,,
NACC1,NACC1,,
NADK2,NADK2,,
NAGA,NAGA,,
NAGLU,NAGLU,,
NAGS,NAGS,,
NAPB,NAPB,,
NARS,NARS,,
NARS2,NARS2,,
NAXD,NAXD,,
NAXE,NAXE,,
