SNV/indel,CNV,STR,Mitochondria
COL12A1,COL12A1,,
COL13A1,COL13A1,,
COL17A1,COL17A1,,
COL18A1,COL18A1,,
COL20A1,COL20A1,,
COL21A1,COL21A1,,
COL2A1,COL2A1,,
COL3A1,COL3A1,,
COL4A1,COL4A1,,
COL4A2,COL4A2,,
COL5A3,COL5A3,,
COL6A2,COL6A2,,
COL6A3,COL6A3,,
COL7A1,COL7A1,,
COL9A2,COL9A2,,
COLGALT1,COLGALT1,,
COLQ,COLQ,,
COMT,COMT,,
COPB1,COPB1,,
COPB2,COPB2,,
COQ2,COQ2,,
COQ4,COQ4,,
COQ5,COQ5,,
COQ6,COQ6,,
COQ8A,COQ8A,,
COQ9,COQ9,,
CORO1A,CORO1A,,
CORO7,CORO7,,
COX10,COX10,,
COX11,COX11,,
COX15,COX15,,
COX4I1,COX4I1,,
COX6A1,COX6A1,,
COX6B1,COX6B1,,
COX8A,COX8A,,
COXFA4,COXFA4,,
CP,CP,,
CPA6,CPA6,,
CPEB2,CPEB2,,
CPLX1,CPLX1,,
CPNE2,CPNE2,,
CPNE6,CPNE6,,
CPQ,CPQ,,
CPS1,CPS1,,
CPSF3,CPSF3,,
CPT1A,CPT1A,,
CPT2,CPT2,,
CRADD,CRADD,,
CRB2,CRB2,,
CRBN,CRBN,,
CREBBP,CREBBP,,
CRH,CRH,,
CRHR1,CRHR1,,
CRIM1,CRIM1,,
CRIPT,CRIPT,,
CRLF1,CRLF1,,
CRLS1,CRLS1,,
CRYAB,CRYAB,,
CSAD,CSAD,,
CSF1R,CSF1R,,
CSMD1,CSMD1,,
CSMD3,CSMD3,,
CSNK1E,CSNK1E,,
CSNK1G1,CSNK1G1,,
CSNK2A1,CSNK2A1,,
CSNK2B,CSNK2B,,
CSPP1,CSPP1,,
CSTB,CSTB,,
CTBP2,CTBP2,,
CTC1,CTC1,,
CTDP1,CTDP1,,
CTH,CTH,,
CTLA4,CTLA4,,
CTNNA2,CTNNA2,,
CTNNA3,CTNNA3,,
CTNNB1,CTNNB1,,
CTNND2,CTNND2,,
CTR9,CTR9,,
CTSA,CTSA,,
CTSD,CTSD,,
CTSF,CTSF,,
CTTNBP2,CTTNBP2,,
CTX,CTX,,
CUBN,CUBN,,
CUL3,CUL3,,
CUL4B,CUL4B,,
CUX1,CUX1,,
CUX2,CUX2,,
CWF19L1,CWF19L1,,
CXCR4,CXCR4,,
CYB561A3,CYB561A3,,
CYB5R3,CYB5R3,,
CYFIP1,CYFIP1,,
CYFIP2,CYFIP2,,
CYP27A1,CYP27A1,,
CYP27B1,CYP27B1,,
CYP2A13,CYP2A13,,
CYP51A1,CYP51A1,,
CYREN,CYREN,,
D2HGDH,D2HGDH,,
DAB2IP,DAB2IP,,
DAG1,DAG1,,
DAGLA,DAGLA,,
DAGLB,DAGLB,,
DALRD3,DALRD3,,
DAP3,DAP3,,
DARS2,DARS2,,
DCAF13,DCAF13,,
DCAF15,DCAF15,,
DCAF17,DCAF17,,
DCC,DCC,,
DCHS1,DCHS1,,
DCLK2,DCLK2,,
DCX,DCX,,
DDX31,DDX31,,
DDX3X,DDX3X,,
DDX43,DDX43,,
DDX49,DDX49,,
DDX59,DDX59,,
DDX60,DDX60,,
DDX60L,DDX60L,,
DEAF1,DEAF1,,
DEGS1,DEGS1,,
DENND1A,DENND1A,,
DENND2B,DENND2B,,
DENND2C,DENND2C,,
DENND5A,DENND5A,,
DENR,DENR,,
DEPDC5,DEPDC5,,
DGAT1,DGAT1,,
DGKD,DGKD,,
DGKE,DGKE,,
DGKG,DGKG,,
DGKZ,DGKZ,,
DGS,DGS,,
DHCR24,DHCR24,,
DHDDS,DHDDS,,
DHFR,DHFR,,
DHODH,DHODH,,
DHPS,DHPS,,
DHRS3,DHRS3,,
DHRS9,DHRS9,,
DHTKD1,DHTKD1,,
DHX16,DHX16,,
DHX30,DHX30,,
DHX37,DHX37,,
DIAPH1,DIAPH1,,
DIAPH3,DIAPH3,,
DIP2B,DIP2B,,
DIP2C,DIP2C,,
DKC1,DKC1,,
DLAT,DLAT,,
DLD,DLD,,
DLG1,DLG1,,
DLG2,DLG2,,
DLG3,DLG3,,
DLG4,DLG4,,
DLGAP2,DLGAP2,,
DLGAP4,DLGAP4,,
DLL1,DLL1,,
DMBX1,DMBX1,,
DMD,DMD,,
DMN1,DMN1,,
DMXL1,DMXL1,,
DMXL2,DMXL2,,
DNA2,DNA2,,
DNAH1,DNAH1,,
DNAH11,DNAH11,,
DNAH14,DNAH14,,
DNAH6,DNAH6,,
DNAH7,DNAH7,,
DNAJA1,DNAJA1,,
DNAJB8,DNAJB8,,
DNAJC12,DNAJC12,,
DNAJC15,DNAJC15,,
DNAJC21,DNAJC21,,
DNAJC5,DNAJC5,,
DNAJC6,DNAJC6,,
DNM1,DNM1,,
DNM1L,DNM1L,,
DNM3,DNM3,,
DNMT1,DNMT1,,
DNMT3A,DNMT3A,,
DOCK10,DOCK10,,
DOCK6,DOCK6,,
DOCK7,DOCK7,,
DOCK8,DOCK8,,
DOHH,DOHH,,
DOK7,DOK7,,
DOLK,DOLK,,
DPAGT1,DPAGT1,,
DPH1,DPH1,,
DPH5,DPH5,,
DPM1,DPM1,,
DPM2,DPM2,,
DPM3,DPM3,,
DPP8,DPP8,,
DPP9,DPP9,,
DPYD,DPYD,,
DPYS,DPYS,,
DPYSL5,DPYSL5,,
DRD3,DRD3,,
DRP2,DRP2,,
DSCAM,DSCAM,,
DSP,DSP,,
DSTYK,DSTYK,,
DTWD2,DTWD2,,
DTX3,DTX3,,
DTYMK,DTYMK,,
DUOX1,DUOX1,,
DUOX2,DUOX2,,
DUS1L,DUS1L,,
DUS2,DUS2,,
DUS3L,DUS3L,,
DVL2,DVL2,,
DYNC1H1,DYNC1H1,,
DYNC1I1,DYNC1I1,,
DYNC1I2,DYNC1I2,,
DYNC2H1,DYNC2H1,,
DYNC2I1,DYNC2I1,,
