alias	hgnc_symbol	source
ABC20	ABCB1	hgnc_alias_symbol
ABC28	ABCF2	hgnc_alias_symbol
ABC3	ABCA3	hgnc_prev_symbol
ABC35	CFTR	hgnc_alias_symbol
ABC36	ABCC8	hgnc_alias_symbol
ABC50	ABCF1	hgnc_prev_symbol
ABC7	ABCB7	hgnc_prev_symbol
ABC8	ABCG1	hgnc_alias_symbol
ABCA10P	ABCA11P	hgnc_alias_symbol
ABCA11	ABCA11P	hgnc_prev_symbol
ABCA15P1	ABCA15P	hgnc_alias_symbol
ABCA15P2	ABCA16P	hgnc_alias_symbol
ABCA3P1	ABCA16P	hgnc_prev_symbol
ABCB10P	ABCB10P1	hgnc_prev_symbol
ABCB10P2	ABCB10P1	hgnc_prev_symbol
ABCB2	TAP1	hgnc_prev_symbol
ABCB3	TAP2	hgnc_prev_symbol
ABCB5alpha	ABCB5	hgnc_alias_symbol
ABCB5beta	ABCB5	hgnc_alias_symbol
ABCC13P	ABCC13	hgnc_alias_symbol
ABCC7	CFTR	hgnc_prev_symbol
ABCD-1	CCL22	hgnc_alias_symbol
ABCD-2	CCL17	hgnc_alias_symbol
ABCD-3	CX3CL1	hgnc_alias_symbol
ABCF2-H2BE1	ABCF2-H2BK1	hgnc_prev_symbol
ABCP	ABCG2	hgnc_alias_symbol
ABCR	ABCA4	hgnc_prev_symbol
ABCX	ABCA7	hgnc_alias_symbol
ABDH19	PPME1	hgnc_alias_symbol
ABF-1	MSC	hgnc_alias_symbol
ABH	ALKBH1	hgnc_alias_symbol
ABH2	ALKBH2	hgnc_alias_symbol
ABHD11-AS1	BICDL3P	hgnc_prev_symbol
ABHD12A	ABHD12	hgnc_alias_symbol
ABHD17AP2	ABHD17AP1	hgnc_prev_symbol
ABHD20	EPHX2	hgnc_alias_symbol
ABHD21	SPG21	hgnc_alias_symbol
ABHD7	EPHX4	hgnc_prev_symbol
ABHD9	EPHX3	hgnc_prev_symbol
ABI-1	ABI1	hgnc_alias_symbol
ABI-2	ABI2	hgnc_alias_symbol
ABI1P	ABI1P1	hgnc_prev_symbol
ABI2B	ABI2	hgnc_alias_symbol
ABIN-1	TNIP1	hgnc_alias_symbol
ABIN-2	TNIP2	hgnc_alias_symbol
ABIN-3	TNIP3	hgnc_alias_symbol
ABIN2	TNIP2	hgnc_alias_symbol
ABL	ABL1	hgnc_prev_symbol
AblBP3	ABI2	hgnc_alias_symbol
ABLIM	ABLIM1	hgnc_prev_symbol
abLIM	ABLIM1	hgnc_alias_symbol
ABLL	ABL2	hgnc_prev_symbol
ABP	AOC1	hgnc_prev_symbol
ABP-278	FLNB	hgnc_alias_symbol
ABP1	AOC1	hgnc_prev_symbol
ABP125	SEC31A	hgnc_alias_symbol
ABP130	SEC31A	hgnc_alias_symbol
ABP620	MACF1	hgnc_alias_symbol
Abpa1p	SCGB1B1P	hgnc_alias_symbol
Abpbg1p	SCGB2B1P	hgnc_alias_symbol
ABPL	FLNC	hgnc_alias_symbol
ABRA1	ABRAXAS1	hgnc_alias_symbol
ABRAXAS	ABRAXAS1	hgnc_alias_symbol
ABRO1	ABRAXAS2	hgnc_alias_symbol
ABS	DDX41	hgnc_alias_symbol
ABTB2A	ABTB2	hgnc_alias_symbol
ABTB2B	ABTB3	hgnc_alias_symbol
AC	ASAH1	hgnc_alias_symbol
AC002066.1	CAV2-DT	hgnc_alias_symbol
AC002310.12	ZNF747-DT	hgnc_alias_symbol
AC002384.1	LINC02577	hgnc_alias_symbol
AC002454.1	CDK6-AS1	hgnc_alias_symbol
AC003090.1	LINC03007	hgnc_alias_symbol
AC004542.C22.1	MORC2	hgnc_alias_symbol
AC004704.1	LINC02945	hgnc_alias_symbol
AC004784.1	PSG11-AS1	hgnc_alias_symbol
AC004812.2	RAB35-AS1	hgnc_alias_symbol
AC004854.4	H2AZ2-DT	hgnc_alias_symbol
AC004943.2	ZFHX3-AS1	hgnc_alias_symbol
AC004997.C22.2	TBC1D10A	hgnc_alias_symbol
AC005154.1	GARS1-DT	hgnc_alias_symbol
AC005154.6	GARS1-DT	hgnc_alias_symbol
AC005165.1	LINC03007	hgnc_alias_symbol
AC005253.1	KXD1-AS1	hgnc_alias_symbol
AC005392.2	LINC03078	hgnc_alias_symbol
AC005592.2	SPRY4-AS1	hgnc_alias_symbol
AC005682.5	SNHG26	hgnc_alias_symbol
AC005884.1	BCAS3-AS1	hgnc_alias_symbol
AC006160.1	MED28-DT	hgnc_alias_symbol
AC006262.5	IGFL2-AS1	hgnc_alias_symbol
AC006369.1	CDC42EP3-AS1	hgnc_alias_symbol
AC007032.1	NAMPT-AS1	hgnc_alias_symbol
AC007092.1	LINC01122	hgnc_alias_symbol
AC007182.6	FLVCR2-AS1	hgnc_alias_symbol
AC007207.2	LINC03141	hgnc_alias_symbol
AC007255.8	PRR15-DT	hgnc_alias_symbol
AC007271.3	IL1R1-AS1	hgnc_alias_symbol
AC007365.1	LINC02579	hgnc_alias_symbol
AC007383.2	INO80D-AS1	hgnc_alias_symbol
AC007386.2	LINC02245	hgnc_alias_symbol
AC007389.3	LINC03050	hgnc_alias_symbol
AC007403.1	LINC01628	hgnc_alias_symbol
AC007405.2	GAD1-AS1	hgnc_alias_symbol
AC007613.1	TXNDC11-AS1	hgnc_alias_symbol
AC007731.1	FAM230G	hgnc_alias_symbol
AC007998.3	ZNF24TR	hgnc_alias_symbol
AC008079.1	FAM230D	hgnc_alias_symbol
AC008560.1	SHLD3	hgnc_alias_symbol
AC008750.1	SIGLEC10-AS2	hgnc_alias_symbol
AC008957.1	SLC1A3-AS1	hgnc_alias_symbol
AC009133.12	MVP-DT	hgnc_alias_symbol
AC009227.1	GALNT13-AS1	hgnc_alias_symbol
AC009237.14	LINC03052	hgnc_alias_symbol
AC009292.1	SKOR1-AS1	hgnc_alias_symbol
AC009892.10	LILRB1-AS1	hgnc_alias_symbol
AC009975.1	MIR548BAHG	hgnc_alias_symbol
AC010331.1	BICRA-AS2	hgnc_alias_symbol
AC010457.1	EGFLAM-AS5	hgnc_alias_symbol
AC010642.1	ZNF8-ERVK3-1	hgnc_alias_symbol
AC010789.1	LINC03046	hgnc_alias_symbol
AC010904.2	LINC02973	hgnc_alias_symbol
AC010980.1	RNF228	hgnc_alias_symbol
AC010999.2	LINC03065	hgnc_alias_symbol
AC011443.1	PAK4-AS1	hgnc_alias_symbol
AC011472.4	DOCK6-AS1	hgnc_alias_symbol
AC011511.2	LIMASI	hgnc_alias_symbol
AC011511.5	ICAM4-AS1	hgnc_alias_symbol
AC012044.5	FAM25EP	hgnc_alias_symbol
AC012213.3	LINC02933	hgnc_alias_symbol
AC012360.1	TGFBRAP1-AS1	hgnc_alias_symbol
AC012568.1	SMAD3-AS1	hgnc_alias_symbol
AC015660.1	LINC03080	hgnc_alias_symbol
AC016405.3	ZHX2-AS1	hgnc_alias_symbol
AC016727.1	USP34-DT	hgnc_alias_symbol
AC016735.2	LINC01819	hgnc_alias_symbol
AC016745.3	LINC02966	hgnc_alias_symbol
AC016747.2	C2orf74-AS1	hgnc_alias_symbol
AC016831.7	LINC00513	hgnc_alias_symbol
AC016876.1	MPDU1-AS1	hgnc_alias_symbol
AC017074.1	LINC02936	hgnc_alias_symbol
AC018445.6	LINC03101	hgnc_alias_symbol
AC019080.1	AGPS-DT	hgnc_alias_symbol
AC020916.1	ZSWIM4-AS1	hgnc_alias_symbol
AC021321.1	ARFGEF1-DT	hgnc_alias_symbol
AC021683.2	LINC03161	hgnc_alias_symbol
AC022026.3	RPSAP6	hgnc_alias_symbol
AC022211.2	MIF4GD-DT	hgnc_alias_symbol
AC022389.4	LRIT2	hgnc_alias_symbol
AC022394.1	HMGN2P8	hgnc_alias_symbol
AC022424.2	ADAMTS16-AS1	hgnc_alias_symbol
AC02278.4	PPP1R3B-DT	hgnc_alias_symbol
AC022816.1	LROMI1	hgnc_alias_symbol
AC022915.1	LINC03054	hgnc_alias_symbol
AC023157.3	AMN1-AS1	hgnc_alias_symbol
AC023283.3	ENO4	hgnc_alias_symbol
AC023904.2	LINC01553	hgnc_alias_symbol
AC024896.1	TM7SF3-AS1	hgnc_alias_symbol
AC025048.4	HEATR6-DT	hgnc_alias_symbol
AC025154.2	AQP5-AS1	hgnc_alias_symbol
AC025254.1	LINC03130	hgnc_alias_symbol
AC026166.2-001	MTCO1P5	hgnc_alias_symbol
AC026355.2	LINC00578	hgnc_alias_symbol
AC026369.3	IQSEC3-AS2	hgnc_alias_symbol
AC026412.3	LINC03067	hgnc_alias_symbol
