gene_symbol	pheno_score
COL2A1	15.3846
HERC2	15.3846
SCN8A	15.3846
THOC2	15.3846
MTM1	15.3846
RET	15.3846
HSD17B4	15.3846
RYR1	15.3846
GDNF	15.3846
NRTN	15.3846
SNORD115-1	15.3846
CNTNAP1	15.3846
SGSM3	15.3846
CHD8	15.3846
ATAD3A	15.3846
CRNKL1	15.3846
ATP6V1B2	15.3846
RMND1	15.3846
PAFAH1B1	15.3846
ALG12	15.3846
CRELD1	15.3846
CLCNKA	15.3846
CLCNKB	15.3846
SYNE1	15.3846
NPC2	15.3846
FKBP14	15.3846
TM2D3	15.3846
CDC42BPB	15.3846
SLC2A1	15.3846
ADARB1	15.3846
IBA57	15.3846
PIGY	15.3846
BIN1	15.3846
PWAR1	15.3846
ABCC6	15.3846
PHGDH	15.3846
SLC9A3	15.3846
MADD	15.3846
SEMA3C	15.3846
SNORD116-1	15.3846
NPAP1	15.3846
FH	15.3846
CSNK2A1	15.3846
ERBB2	15.3846
AVPR2	15.3846
PSAT1	15.3846
MTHFR	15.3846
NALCN	15.3846
PWRN1	15.3846
AQP2	15.3846
KDM3B	15.3846
MYL1	15.3846
BICD2	15.3846
ODC1	15.3846
MAMLD1	15.3846
NEXN	15.3846
IPW	15.3846
SREBF1	15.3846
ATP6V0A1	15.3846
ERBB3	15.3846
EDNRB	15.3846
ACTG2	15.3846
TRPV6	15.3846
ANO1	15.3846
RAPSN	15.3846
ASXL3	15.3846
PHOX2B	15.3846
SCYL2	15.3846
CLPB	15.3846
DPM2	15.3846
DNAJC21	15.3846
ALS2	15.3846
PLCH1	15.3846
LAMA2	15.3846
COX18	15.3846
PLA2G6	15.3846
TK2	15.3846
RHOBTB2	15.3846
ATP5F1A	15.3846
ARX	15.3846
MYMK	15.3846
NDUFA6	15.3846
ADAR	15.3846
SPTLC1	15.3846
IARS2	15.3846
BAP1	15.3846
MSL2	15.3846
MECP2	15.3846
MYH8	15.3846
SPTBN4	15.3846
SPINK5	15.3846
CAVIN1	15.3846
UNC45B	15.3846
NDC1	15.3846
GNAO1	15.3846
KMT2B	15.3846
NTRK1	15.3846
GEMIN4	15.3846
ATXN7	15.3846
DLX4	15.3846
COQ4	15.3846
FARS2	15.3846
KIF5A	15.3846
FTH1	15.3846
CTNNB1	15.3846
UBB	15.3846
PNKP	15.3846
GCDH	15.3846
GOSR2	15.3846
WFS1	15.3846
MGAT2	15.3846
STIL	15.3846
GMPPA	15.3846
TSEN15	15.3846
KNSTRN	15.3846
ATP1A3	15.3846
RNASEH1	15.3846
UBTF	15.3846
COBLL1	15.3846
RNU4-2	15.3846
NDUFAF2	15.3846
MACF1	15.3846
PPFIA3	15.3846
MYO1H	15.3846
SLC32A1	15.3846
OCA2	15.3846
ARHGAP29	15.3846
CLN8	15.3846
MED17	15.3846
MMUT	15.3846
TOM1	15.3846
DNM1L	15.3846
CHRNE	15.3846
FLAD1	15.3846
ELFN1	15.3846
SEPSECS	15.3846
RNU2-2	15.3846
RRM2B	15.3846
GNS	15.3846
INPP4A	15.3846
NDUFS3	15.3846
RECQL4	15.3846
LMNB1	15.3846
CAV1	15.3846
FBXO28	15.3846
MT-ND1	15.3846
COL7A1	15.3846
SLC9A6	15.3846
SIK1	15.3846
HTRA2	15.3846
CHMP1A	15.3846
MT-ND2	15.3846
EXOSC5	15.3846
SCN2A	15.3846
ASPA	15.3846
KLHL7	15.3846
PEX1	15.3846
HNRNPA2B1	15.3846
REV3L	15.3846
ANKRD11	15.3846
GNB2	15.3846
SPG11	15.3846
ARHGEF38	15.3846
DLG1	15.3846
PDGFRA	15.3846
MPV17	15.3846
AP3D1	15.3846
MTRFR	15.3846
FUS	15.3846
SEL1L	15.3846
SYNJ1	15.3846
RFC4	15.3846
SIGMAR1	15.3846
TRA2B	15.3846
NDUFS1	15.3846
TFG	15.3846
GRIN2D	15.3846
CCT3	15.3846
TOP3A	15.3846
ALDH18A1	15.3846
NUS1	15.3846
YY1	15.3846
LAMB2	15.3846
DDC	15.3846
TANGO2	15.3846
COL4A5	15.3846
NEUROD2	15.3846
LRPPRC	15.3846
TSEN34	15.3846
MT-TL1	15.3846
DCX	15.3846
COL4A6	15.3846
ATG7	15.3846
HBB	15.3846
GRIN1	15.3846
OPA1	15.3846
ALDH4A1	15.3846
PABPN1	15.3846
MRPS34	15.3846
KCNK9	15.3846
GLB1	15.3846
PANK2	15.3846
MECR	15.3846
RLIM	15.3846
EPRS1	15.3846
TUBB6	15.3846
RHBDF2	15.3846
HOXB1	15.3846
IKBKG	15.3846
GFPT1	15.3846
CLCN1	15.3846
SNF8	15.3846
CACNA1A	15.3846
SLC1A4	15.3846
SLC46A1	15.3846
HTT	15.3846
SLC25A22	15.3846
PSAP	15.3846
GRHL3	15.3846
ASAH1	15.3846
LIFR	15.3846
SCN1B	15.3846
GALC	15.3846
MFF	15.3846
ANTXR2	15.3846
FDXR	15.3846
CDKL5	15.3846
RARS1	15.3846
CTNS	15.3846
DMXL2	15.3846
AASS	15.3846
CRLF1	15.3846
